screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
BTSD_Anxi_tae,I Have BTSD and Anxi-tae,751138217999474688,1193317337404858368,/BTSD_Anxi_tae/status/1193317337404858368,2019-11-09 23:59:58,1573343998,uwu pic.twitter.com/6o3iYAIXA9,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><strong>uwu</strong> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/6o3iYAIXA9"">pic.twitter.com/6o3iYAIXA9</a></p>",[],[],True,['https://pbs.twimg.com/media/EI-DyTPU4AEWmOm.jpg'],,1,0,0,False,False,,[]
CallieRanting,Callie uwu,1190113819378491392,1193317325233106944,/CallieRanting/status/1193317325233106944,2019-11-09 23:59:55,1573343995,Thank you daddy uwu,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Thank you daddy <strong>uwu</strong></p>",[],[],False,[],,0,0,0,False,True,1193316182885093376,"[{'screen_name': 'allbimyselflone', 'user_id': '2719629544'}]"
srturday,alen,1179466557816283137,1193317323798650880,/srturday/status/1193317323798650880,2019-11-09 23:59:55,1573343995,holaaa chibba uwu,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""it"">holaaa chibba <strong>uwu</strong></p>",[],[],False,[],,0,0,1,True,False,,[]
SammyyWasTaken,Sammy,2604883039,1193317309840052227,/SammyyWasTaken/status/1193317309840052227,2019-11-09 23:59:52,1573343992,If you’re gonna die take me with you uwu,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">If you’re gonna die take me with you <strong>uwu</strong></p>",[],[],False,[],,1,0,0,False,True,1193313319257550848,"[{'screen_name': 'Alyssadabeast', 'user_id': '924469454'}]"
Gamma_Vaire,Vairë-🏳️‍🌈,822924987162042368,1193317303800279040,/Gamma_Vaire/status/1193317303800279040,2019-11-09 23:59:50,1573343990,Es el cumple de un perro uwu pic.twitter.com/DSnsiIrv9D,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""it"">Es el cumple de un perro <strong>uwu</strong><img alt=""🎉"" aria-label=""Emoji: Party popper"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f389.png"" title=""Party popper""/><img alt=""🎈"" aria-label=""Emoji: Balloon"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f388.png"" title=""Balloon""/><img alt=""🎉"" aria-label=""Emoji: Party popper"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f389.png"" title=""Party popper""/><img alt=""🎈"" aria-label=""Emoji: Balloon"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f388.png"" title=""Balloon""/> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/DSnsiIrv9D"">pic.twitter.com/DSnsiIrv9D</a></p>",[],[],True,['https://pbs.twimg.com/media/EI-DwdAXYAAeUVh.jpg'],,1,0,0,False,False,,[]
_jinnie_uwu_,✧ ཻུ۪۪⸙͎ 🦁 : Jinnie ༄ ‧₊˚HN |TKP|CT|LH|HNS|,1173114611853221889,1193317302176866304,/_jinnie_uwu_/status/1193317302176866304,2019-11-09 23:59:50,1573343990,"I love you so much 
Marry me, remember drink water and rest uwu ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I love you so much <img alt=""😭"" aria-label=""Emoji: Loudly crying face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f62d.png"" title=""Loudly crying face""/><img alt=""💕"" aria-label=""Emoji: Two hearts"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f495.png"" title=""Two hearts""/><img alt=""💞"" aria-label=""Emoji: Revolving hearts"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f49e.png"" title=""Revolving hearts""/>
Marry me, remember drink water and rest <strong>uwu</strong> <img alt=""💕"" aria-label=""Emoji: Two hearts"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f495.png"" title=""Two hearts""/><img alt=""💞"" aria-label=""Emoji: Revolving hearts"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f49e.png"" title=""Revolving hearts""/></p>",[],[],False,[],,1,0,0,False,True,1193315820425895938,"[{'screen_name': 'HOLLAND_vvv', 'user_id': '950784001131737088'}]"
justpurpleyou,FullOfDreams🇨🇱,1079834115732586498,1193317296070156294,/justpurpleyou/status/1193317296070156294,2019-11-09 23:59:48,1573343988,"Tú dale nomás uwu no tienes que preocuparte por esas cosas, si a ti te gustaría hacerlo, pues hazlo, eso estará bien para ti, que no te de vergüenza hacerlo, además,si es que no lo pescaran o algo, ¿qué tanto? Sabrás que al menos hiciste lo que querías y lo que te gustaría","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Tú dale nomás <strong>uwu</strong> no tienes que preocuparte por esas cosas, si a ti te gustaría hacerlo, pues hazlo, eso estará bien para ti, que no te de vergüenza hacerlo, además,si es que no lo pescaran o algo, ¿qué tanto? Sabrás que al menos hiciste lo que querías y lo que te gustaría<img alt=""😌"" aria-label=""Emoji: Relieved face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f60c.png"" title=""Relieved face""/><img alt=""✊🏻"" aria-label=""Emoji: Raised fist (light skin tone)"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/270a-1f3fb.png"" title=""Raised fist (light skin tone)""/></p>",[],[],False,[],,1,0,0,False,True,1193310900746407936,"[{'screen_name': '_softaegi_', 'user_id': '1094352591713198081'}]"
Lev_96020412,🔥❄️L E V❄️🔥,4472435716,1193317293838807040,/Lev_96020412/status/1193317293838807040,2019-11-09 23:59:48,1573343988,descansa uwu,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""it"">descansa <strong>uwu</strong></p>",[],[],False,[],,1,0,1,True,True,1193314619433111557,"[{'screen_name': 'giyuuiscute', 'user_id': '1184111867536519168'}]"
imgonnadieomgg,𝖎𝖗𝖎𝖘 | 𝚕𝚘 𝚕𝚘𝚟𝚎 𝚋𝚘𝚝,898981495007834114,1193317284728709120,/imgonnadieomgg/status/1193317284728709120,2019-11-09 23:59:46,1573343986,"smiles and kisses your cheek, you’re welcome uwu https://twitter.com/theLOfyourlife/status/1193317137357500416 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">smiles and kisses your cheek, you’re welcome <strong>uwu</strong> <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/theLOfyourlife/status/1193317137357500416"" dir=""ltr"" href=""https://t.co/IOaO6SQ1YF"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/theLOfyourlife/status/1193317137357500416""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/theLOfyourlife</span><span class=""invisible"">/status/1193317137357500416</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/theLOfyourlife/status/1193317137357500416'],[],False,[],,0,0,0,False,False,,[]
CityInsect,Insect_city,1145440350821130245,1193317282396676097,/CityInsect/status/1193317282396676097,2019-11-09 23:59:45,1573343985,UwU,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><strong>UwU</strong></p>",[],[],False,[],,1,0,0,False,True,1193233711854227458,"[{'screen_name': 'softslimerabbit', 'user_id': '1074335707437649925'}]"
brightestmerodi,pedacito de cielo🌌,101863802,1193317280895193088,/brightestmerodi/status/1193317280895193088,2019-11-09 23:59:45,1573343985,este fin de semana he sido un asco uwu,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""it"">este fin de semana he sido un asco <strong>uwu</strong></p>",[],[],False,[],,0,0,0,False,False,,[]
